No Time To Die,Cary Joji Fukunaga,2021,spy
Scream 6,Matt Bettinelli-Olpin,2023,horror
Skyfall,Sam Mendes,2012,spy
The Avengers,Joss Whedon,2012,superhero
Signs,M. Night Shyamalan,2002,horror
